,PointsTotal,DateParse,Squad,HA,P_color,rank,matchup,score_H,score_A,Points
1727,13,2017-12-23,Swansea City,H,#ffffff ,20.0,Swansea City vs. Crystal Palace,1,1,1
1730,22,2017-12-23,Watford,A,#fbee23 ,10.0,Brighton vs. Watford,1,0,0
1731,17,2017-12-23,West Ham,H,#7f0000 ,17.0,West Ham vs. Newcastle Utd,2,3,0
1733,14,2017-12-23,West Bromwich Albion,A,#122f67,19.0,Stoke City vs. West Bromwich Albion,3,1,0
1737,21,2017-12-23,Brighton,H,#005daa ,12.0,Brighton vs. Watford,1,0,3
1741,39,2017-12-23,Chelsea,A,#034694 ,3.0,Everton vs. Chelsea,0,0,1
1742,18,2017-12-23,Newcastle Utd,A,#fafafa ,15.0,West Ham vs. Newcastle Utd,2,3,3
1744,34,2017-12-23,Tottenham,A,#fafafa ,5.0,Burnley vs. Tottenham,0,3,3
1745,18,2017-12-23,Crystal Palace,A,#27409b ,16.0,Swansea City vs. Crystal Palace,1,1,1
1746,32,2017-12-23,Burnley,H,#800000 ,7.0,Burnley vs. Tottenham,0,3,0
1748,26,2017-12-23,Everton,H,#0d00e9 ,9.0,Everton vs. Chelsea,0,0,1
1755,42,2017-12-23,Manchester Utd,A,#b40509 ,2.0,Leicester City vs. Manchester Utd,2,2,1
1756,22,2017-12-23,Huddersfield Town,A,#176fc0,11.0,Southampton vs. Huddersfield Town,1,1,1
1757,27,2017-12-23,Leicester City,H,#0053a0 ,8.0,Leicester City vs. Manchester Utd,2,2,1
1760,15,2017-12-26,West Bromwich Albion,H,#122f67,19.0,West Bromwich Albion vs. Everton,0,0,1
1761,43,2017-12-26,Manchester Utd,H,#b40509 ,2.0,Manchester Utd vs. Burnley,2,2,1
1762,38,2017-12-26,Liverpool,H,#dd0000 ,4.0,Liverpool vs. Swansea City,5,0,3
1763,42,2017-12-26,Chelsea,H,#034694 ,3.0,Chelsea vs. Brighton,2,0,3
1764,13,2017-12-26,Swansea City,A,#ffffff ,20.0,Liverpool vs. Swansea City,5,0,0
1765,27,2017-12-26,Everton,A,#0d00e9 ,9.0,West Bromwich Albion vs. Everton,0,0,1
1766,18,2017-12-26,West Ham,A,#7f0000 ,17.0,Bournemouth vs. West Ham,3,3,1
1767,23,2017-12-26,Huddersfield Town,H,#176fc0,11.0,Huddersfield Town vs. Stoke City,1,1,1
1768,19,2017-12-26,Southampton,A,#ed1a3b ,14.0,Tottenham vs. Southampton,5,2,0
1769,37,2017-12-26,Tottenham,H,#fafafa ,5.0,Tottenham vs. Southampton,5,2,3
