,latitude,longitude,proportion,start,radius
0,38.296,-76.574,0.9999999999999999,2022-01-26 18:30:00,43.36366669565822
1,38.296,-76.574,0.9010299514620576,2022-01-27 18:30:00,39.5299261739237
2,38.304,-76.631,0.051280533522749694,2022-01-27 18:30:00,10.8337605454648
3,38.298,-76.511,0.04768951501519277,2022-01-27 18:30:00,26.994395447654906
4,38.296,-76.574,1.0,2022-01-28 18:30:00,39.18346603925754
5,38.296,-76.574,0.8861204391627372,2022-01-29 18:30:00,37.331532549285896
6,38.307,-76.583,0.09741965792633063,2022-01-29 18:30:00,50.34158341630842
7,38.294,-76.501,0.01645990291093209,2022-01-29 18:30:00,13.725395508408871
8,38.296,-76.574,0.8789219629927595,2022-01-30 18:30:00,40.310406628559605
9,38.305,-76.631,0.12107803700724054,2022-01-30 18:30:00,32.68603241140129
10,38.296,-76.574,0.9403257357627975,2022-01-31 18:30:00,40.964760827398585
11,38.199,-76.486,0.03672769633162626,2022-01-31 18:30:00,36.255828290475236
12,38.274,-76.456,0.02294656790557619,2022-01-31 18:30:00,28.534967235171187
13,38.296,-76.574,0.9449498150003066,2022-02-01 18:30:00,40.647210037773235
14,38.265,-76.458,0.05505018499969337,2022-02-01 18:30:00,27.03476034789044
15,38.296,-76.574,0.8818125516102395,2022-02-02 18:30:00,39.45810834813366
16,38.32,-76.669,0.09919488026424443,2022-02-02 18:30:00,49.65612291298063
17,38.308,-76.529,0.018992568125516102,2022-02-02 18:30:00,27.701902795948794
18,38.296,-76.574,0.9623830357329761,2022-02-03 18:30:00,41.34181974946355
19,38.298,-76.511,0.03761696426702393,2022-02-03 18:30:00,32.644645633956436
20,38.296,-76.574,0.8568888493765697,2022-02-04 18:30:00,40.88415905722356
21,38.51,-76.638,0.06385437734758741,2022-02-04 18:30:00,20.322103508278058
22,38.554,-76.597,0.03558331295979374,2022-02-04 18:30:00,10.032745919420249
23,38.547,-76.591,0.023803702798213054,2022-02-04 18:30:00,19.629378762927505
24,38.536,-76.586,0.01986975751783611,2022-02-04 18:30:00,18.125904412149332
25,38.296,-76.574,0.962817932959881,2022-02-05 18:30:00,39.390823965041115
26,38.259,-76.449,0.03718206704011892,2022-02-05 18:30:00,34.9234044435713
27,38.296,-76.574,0.8857667801638405,2022-02-06 18:30:00,39.93804026422205
28,38.304,-76.631,0.10201260829990223,2022-02-06 18:30:00,28.828575318395515
29,38.322,-76.617,0.01222061153625729,2022-02-06 18:30:00,21.3689490646488
30,38.296,-76.574,0.9868056996610638,2022-02-07 18:30:00,42.00307458426771
31,38.3,-76.511,0.013194300338936156,2022-02-07 18:30:00,21.658637606716972
32,38.296,-76.574,0.9672630063746659,2022-02-08 18:30:00,39.944830477515865
33,38.265,-76.458,0.01747892247583796,2022-02-08 18:30:00,23.275447362278296
34,38.287,-76.484,0.015258071149496196,2022-02-08 18:30:00,22.198871354314914
35,38.296,-76.574,0.7217216411906677,2022-02-09 18:30:00,44.580582497917625
36,38.265,-76.454,0.08986323411102172,2022-02-09 18:30:00,20.38196936708506
37,38.259,-76.449,0.10201126307320997,2022-02-09 18:30:00,32.313809999281965
38,38.308,-76.529,0.07393403057119871,2022-02-09 18:30:00,33.94231930965356
39,38.298,-76.511,0.01246983105390185,2022-02-09 18:30:00,23.948172278436104
40,38.296,-76.574,0.9007786936171975,2022-02-10 18:30:00,39.12922161256753
41,38.298,-76.511,0.051174253406784574,2022-02-10 18:30:00,22.520569510523927
42,38.297,-76.639,0.0480470529760179,2022-02-10 18:30:00,30.873460699964543
43,38.296,-76.574,0.8177530421658334,2022-02-11 18:30:00,39.68067760155183
44,38.259,-76.449,0.0680124516555042,2022-02-11 18:30:00,28.964300726503968
45,38.296,-76.639,0.11423450617866239,2022-02-11 18:30:00,27.10996499651838
46,38.296,-76.574,0.8587963979793543,2022-02-12 18:30:00,37.88669959650294
47,38.887,-76.978,0.101229958269273,2022-02-12 18:30:00,32.65211995028836
48,38.847,-76.991,0.025587524708983088,2022-02-12 18:30:00,25.13241324961176
49,38.259,-76.449,0.014386119042389633,2022-02-12 18:30:00,20.92973137601209
50,38.296,-76.574,1.0,2022-02-13 18:30:00,40.44590883606659
51,38.296,-76.574,0.9225618854497456,2022-02-14 18:30:00,39.820547833158436
52,38.299,-76.508,0.034070474805830815,2022-02-14 18:30:00,27.43178536094306
53,38.293,-76.504,0.04336763974442362,2022-02-14 18:30:00,21.184633097895013
54,38.296,-76.574,1.0,2022-02-15 18:30:00,40.077278775730186
55,38.296,-76.574,1.0,2022-02-16 18:30:00,40.540283949547714
56,38.296,-76.574,0.8994911679919515,2022-02-17 18:30:00,40.14179142162711
57,38.303,-76.635,0.04163522742662565,2022-02-17 18:30:00,20.183233461445873
58,38.308,-76.529,0.039681157737922496,2022-02-17 18:30:00,35.231211624045194
59,38.321,-76.543,0.0191924468435003,2022-02-17 18:30:00,34.20975576934682
60,38.296,-76.574,0.7658474822533107,2022-02-18 18:30:00,39.74866246945656
61,38.313,-76.635,0.09132799202955706,2022-02-18 18:30:00,17.749494739127886
62,38.296,-76.639,0.0714641537631284,2022-02-18 18:30:00,28.6803935751105
63,38.293,-76.639,0.037672796712192286,2022-02-18 18:30:00,25.81288726729996
64,38.258,-76.449,0.03368757524181162,2022-02-18 18:30:00,28.95898829534305
65,38.296,-76.574,0.9272097473536323,2022-02-19 18:30:00,38.71708921818101
66,38.313,-76.635,0.07279025264636775,2022-02-19 18:30:00,23.038653095175494
67,38.296,-76.574,1.0,2022-02-20 18:30:00,40.39096673781052
68,38.296,-76.574,0.9723065250379362,2022-02-21 18:30:00,36.16147788378227
69,38.287,-76.484,0.027693474962063733,2022-02-21 18:30:00,30.37208521845798
70,38.296,-76.574,0.9176588544930443,2022-02-22 18:30:00,40.13549346762871
71,38.265,-76.458,0.06692567990976313,2022-02-22 18:30:00,28.5447692856308
72,38.298,-76.511,0.01541546559719263,2022-02-22 18:30:00,36.530282271675354
73,38.296,-76.574,0.9642189437832035,2022-02-23 18:30:00,41.63708266390474
74,38.309,-76.529,0.035781056216796545,2022-02-23 18:30:00,25.52835013959611
75,38.296,-76.574,0.8904377548078903,2022-02-24 18:30:00,39.35546915245566
76,38.304,-76.631,0.06798995181814438,2022-02-24 18:30:00,11.651745747174983
77,38.298,-76.511,0.04157229337396533,2022-02-24 18:30:00,24.676513472718028
78,38.296,-76.574,1.0,2022-02-25 18:30:00,42.976813739470806
79,38.296,-76.574,0.9755304320892055,2022-02-26 18:30:00,42.47646682361326
80,38.259,-76.449,0.024469567910794486,2022-02-26 18:30:00,37.68025792149978
81,38.296,-76.574,1.0,2022-02-27 18:30:00,40.73392273231563
82,38.296,-76.574,0.9473096257680134,2022-02-28 18:30:00,38.68679616329945
83,38.291,-76.636,0.024799851051945633,2022-02-28 18:30:00,41.0986055361084
84,38.286,-76.573,0.01675665611617948,2022-02-28 18:30:00,39.62268223150555
85,38.294,-76.504,0.011133867063861479,2022-02-28 18:30:00,23.963087174952715
86,38.296,-76.574,0.9767351049181001,2022-03-01 18:30:00,39.801034827470794
87,38.308,-76.529,0.01216680025484514,2022-03-01 18:30:00,26.735198260427193
88,38.291,-76.636,0.01109809482705469,2022-03-01 18:30:00,41.87435848375578
89,38.296,-76.574,1.0,2022-03-02 18:30:00,38.84692884325567
90,38.296,-76.574,0.8753060510668066,2022-03-03 18:30:00,41.70424525146506
91,38.304,-76.631,0.12469394893319342,2022-03-03 18:30:00,9.609006290276564
92,38.296,-76.574,1.0,2022-03-06 18:30:00,39.567660052119116
93,38.296,-76.574,0.9714893205760123,2022-03-07 18:30:00,41.15614464080709
94,38.308,-76.529,0.028510679423987627,2022-03-07 18:30:00,29.733440445874567
95,38.296,-76.574,0.9672458558018774,2022-03-08 18:30:00,41.502978729877185
96,38.299,-76.637,0.019872178949470742,2022-03-08 18:30:00,18.480420290524123
97,38.296,-76.639,0.012881965248651888,2022-03-08 18:30:00,24.009706649857183
98,38.296,-76.574,1.0,2022-03-09 18:30:00,42.27214059047497
99,38.296,-76.574,0.9879731775903093,2022-03-10 18:30:00,38.154775800346826
100,38.286,-76.478,0.012026822409690677,2022-03-10 18:30:00,32.40779819523973
101,38.296,-76.574,1.0,2022-03-11 18:30:00,39.02201339249198
102,38.296,-76.574,0.8574692247976046,2022-03-12 18:30:00,40.53782127452494
103,38.345,-76.806,0.1425307752023955,2022-03-12 18:30:00,48.312610065960214
104,38.296,-76.574,0.9385300757136864,2022-03-13 18:30:00,42.25134974766129
105,38.308,-76.529,0.044089737699023114,2022-03-13 18:30:00,31.948677568684058
106,38.321,-76.543,0.01738018658729049,2022-03-13 18:30:00,38.89347995690033
107,38.296,-76.574,0.9299460776571983,2022-03-14 18:30:00,41.51849278887467
108,38.272,-76.458,0.05529860343388309,2022-03-14 18:30:00,20.199384290256674
109,38.301,-76.514,0.01475531890891862,2022-03-14 18:30:00,50.40584325938234
110,38.296,-76.574,0.8008877358681773,2022-03-15 18:30:00,40.25393619447336
111,38.277,-76.613,0.07428200814771277,2022-03-15 18:30:00,18.206580820482813
112,38.272,-76.457,0.05543282190559193,2022-03-15 18:30:00,18.079332037974268
113,38.266,-76.458,0.069397434078518,2022-03-15 18:30:00,32.40443939771234
114,38.296,-76.574,0.8680675569520817,2022-03-16 18:30:00,38.41221528027926
115,38.511,-76.63,0.1319324430479183,2022-03-16 18:30:00,32.58308914929865
116,38.296,-76.574,0.8468515725744761,2022-03-17 18:30:00,40.72100851422994
117,38.304,-76.631,0.07339409437632505,2022-03-17 18:30:00,10.555598814621037
118,38.648,-76.889,0.05971193145804647,2022-03-17 18:30:00,22.400355905769164
119,38.824,-76.921,0.020042401591152493,2022-03-17 18:30:00,39.71833691989582
120,38.296,-76.574,1.0,2022-03-18 18:30:00,42.45652449494849
121,38.296,-76.574,1.0,2022-03-19 18:30:00,39.46392175506205
122,38.296,-76.574,0.8908552428366372,2022-03-20 18:30:00,39.38443440535473
123,38.292,-76.496,0.0704071806239439,2022-03-20 18:30:00,12.600428080381796
124,38.277,-76.613,0.038737576539418936,2022-03-20 18:30:00,16.44429853378033
