,latitude,longitude,proportion,start
86,47.14,-122.293,0.02031978680879414,2021-12-13 18:30:00
87,47.155,-122.315,0.015989340439706862,2021-12-13 18:30:00
88,47.122,-122.261,0.9597224040853738,2021-12-14 18:30:00
89,47.121,-122.293,0.040277595914626166,2021-12-14 18:30:00
90,47.122,-122.261,0.7732338099243061,2021-12-15 18:30:00
91,47.043,-122.828,0.22676619007569387,2021-12-15 18:30:00
92,47.122,-122.261,0.824521072796935,2021-12-22 18:30:00
93,47.115,-122.291,0.17547892720306513,2021-12-22 18:30:00
94,47.122,-122.261,0.931386081303709,2021-12-23 18:30:00
95,47.14,-122.292,0.05089273787791086,2021-12-23 18:30:00
96,47.137,-122.293,0.01772118081838016,2021-12-23 18:30:00
97,47.122,-122.261,0.7798448799916151,2021-12-24 18:30:00
98,47.22,-122.425,0.22015512000838486,2021-12-24 18:30:00
99,47.122,-122.261,0.8347395333972515,2021-12-25 18:30:00
100,47.191,-122.155,0.16526046660274848,2021-12-25 18:30:00
101,47.122,-122.261,1.0,2021-12-26 18:30:00
102,47.122,-122.261,0.9352354428940862,2021-12-27 18:30:00
103,47.135,-122.295,0.03975674216374435,2021-12-27 18:30:00
104,47.127,-122.293,0.013754298218193186,2021-12-27 18:30:00
105,47.158,-122.287,0.011253516723976243,2021-12-27 18:30:00
106,47.122,-122.261,1.0,2021-12-28 18:30:00
107,47.122,-122.261,1.0,2021-12-29 18:30:00
108,47.122,-122.261,1.0,2021-12-31 18:30:00
109,47.122,-122.261,1.0,2022-01-02 18:30:00
110,47.122,-122.261,1.0,2022-01-03 18:30:00
111,47.154,-122.353,0.9737118822292324,2022-01-04 18:30:00
112,47.155,-122.328,0.026288117770767613,2022-01-04 18:30:00
113,47.122,-122.261,1.0,2022-01-06 18:30:00
114,47.122,-122.261,0.9545609065155808,2022-01-07 18:30:00
115,47.126,-122.294,0.04543909348441926,2022-01-07 18:30:00
116,47.122,-122.261,1.0,2022-01-08 18:30:00
117,47.122,-122.261,0.7870632672332389,2022-01-09 18:30:00
118,47.135,-122.295,0.18498583569405097,2022-01-09 18:30:00
119,47.126,-122.294,0.027950897072710104,2022-01-09 18:30:00
120,47.122,-122.261,1.0,2022-01-10 18:30:00
121,47.122,-122.261,0.9219155923729229,2022-01-11 18:30:00
122,47.154,-122.353,0.07808440762707711,2022-01-11 18:30:00
123,47.122,-122.261,1.0,2022-01-12 18:30:00
124,47.122,-122.261,0.9859168728109922,2022-01-13 18:30:00
125,47.14,-122.292,0.014083127189007814,2022-01-13 18:30:00
126,47.122,-122.261,0.9885365628177868,2022-01-14 18:30:00
127,47.441,-122.221,0.011463437182213184,2022-01-14 18:30:00
128,47.122,-122.261,0.9159716957290877,2022-01-15 18:30:00
129,47.821,-122.291,0.0659843315643164,2022-01-15 18:30:00
130,47.152,-122.295,0.018043972706595905,2022-01-15 18:30:00
131,47.195,-122.294,0.5877422734415924,2022-01-16 18:30:00
132,47.122,-122.261,0.3881613410162389,2022-01-16 18:30:00
133,47.161,-122.304,0.024096385542168676,2022-01-16 18:30:00
134,47.122,-122.261,1.0,2022-01-17 18:30:00
135,47.122,-122.26,1.0,2022-01-18 18:30:00
136,47.122,-122.261,1.0,2022-01-19 18:30:00
137,47.122,-122.261,0.9875345762833638,2022-01-20 18:30:00
138,47.135,-122.295,0.012465423716636132,2022-01-20 18:30:00
139,47.122,-122.261,0.9887414555689586,2022-01-22 18:30:00
140,47.125,-122.261,0.011258544431041415,2022-01-22 18:30:00
141,47.122,-122.261,0.6047780338154862,2022-01-23 18:30:00
142,42.313,-71.112,0.3952219661845137,2022-01-23 18:30:00
143,47.122,-122.261,1.0,2022-01-24 18:30:00
144,47.122,-122.261,0.9115515617073701,2022-01-25 18:30:00
145,47.154,-122.353,0.0884484382926299,2022-01-25 18:30:00
146,47.122,-122.261,1.0,2022-01-26 18:30:00
147,47.122,-122.261,1.0,2022-01-27 18:30:00
148,48.09,-122.392,1.0,2022-01-28 18:30:00
